X1,PROGRAM,ORG PHONE,DISTADD,DIS,DBIOSRTOZI,DAYS,HOURS
FPK,JEWISH COMMUNITY COUNCIL OF THE ROCKAWAY PENINS,(L7A18) 327-6060,1525 CENTRAL AVE,QN,11691,"TUE,THUR",9:30AM - 1:30PM
FPK,KEHILAT SEPAHRDIM OF AHVAT ACHIM,(718) 591-9574,150-62 78TH ROAD,QN,11367,"MON,WED/SUN",10AM-2PM/10AM-4PM
FP,KING EMMANUEL MISSIONARY BAPTIST CHURCH,(718) 773-1650,207A BAINBRIDGE STREET,BK,11233,"THUR,FRI",10:30AM-12PM
FP,KINGLAWN UNITED PRESBYTERIAN CHURCH,718-241-0736,2368 RALPH AVENUE,BK,11234,"SAT(2,4)",10-11AM
FPK,KINGS BAY Y FOOD PANTRY,718-648-7703,3495 NOSTRAND AVENUE,BK,11229,MON/FRI,11AM-3PM/11AM-1PM
FP,LA JORNADA,917-880-5693,135-32 38TH AVENUE,QN,11354,SAT,1-3PM
FP,LAS MARAVILLAS DEL EXODO,(718) 235-4801,302 ELTON STREET,BK,11208,WED,11AM-12PM
FP,LEVITICUS CHURCH,(718) 322-1095,114-12 VAN WYCK EXPRESSWAY,QN,11420,WED/SAT,1-2PM/12-1PM
FP,LIGHTHOUSE OF HOPE OUTREACH AND RESOURCE CENTE,NONE,66 EAST 96TH STREET,BK,11212,SAT,10AM-1PM
FPK,LILLIAN WALD FOOD PANTRY,212-260-2731,12 AVENUE D,NY,10009,THUR,9:30-11:30AM
FP,LINDEN SDA CHURCH COMMUNITY SERVICES,718-527-4072,228-20 137TH AVENUE,QN,11413,SUN,10AM-12PM
FP,LITTLE JERUSALEM HOUSE OF PRAYER,718-922-7446,447 HERZL STREET,BK,11212,"SAT (2,4)",1-2PM
SK,LITTLE ROCK BAPTIST CHURCH INC,718-495-6772,375 BRISTOL STREET,BK,11212,"TUE,THUR",11:30AM-1PM
FP,LITTLE SISTERS OF THE ASSUMPTION FAMILY HEALTH SER,6IC46E-672-5200,333 EAST 115TH STREET,NY,10029,"TUE, WED/WED",9:30-11:30AM/1:30-3:30PM
FP,LOS REDIMIDOS EN LA SANGRE DE CRISTO,646-408-3909,609 EAST 182ND STREET,BX,10457,WED,1-2PM
SK,LOYAL BAPTIST CHURCH,(718) 328-3512,881 EAST 167TH STREET,BX,10459,THUR,11AM-3PM
FP,MACEDONIA AME CHURCH,(718) 353-5870,106-16 GUY R. BREWER BLVD,QN,11433,TUE,10-11:30AM
FP,MACEDONIA CH. ASSEMBLY OF GOD-BREAD OF LIFE FOOD,(2A1N2T) R4Y10-3412,340 EAST 106TH STREET,NY,10029,FRI,9-10:30AM
FP,MAKE THE ROAD NEW YORK,(718) 418-7690,301 GROVE STREET,BK,11237,FRI,7-10AM
FP,MAKE THE ROAD NEW YORK,718-565-8500,92-10 ROOSEVELT AVENUE,QN,11372,WED,7-10AM
FP,MAMRE ENRICHMENT PROGRAM,646-617-8775,1623 UTICA AVENUE,BK,11234,"WED(3),SUN(1ST)",10AM-12PM
SKM,"MANNA OF LIFE MINISTRIES, INC",347-577-5788,1101 BOSTON ROAD,BX,10456,SAT,11AM-1PM
SKK,MASBIA OF FLATBUSH,718-972-4446,1372 CONEY ISLAND AVE,BK,11230,SUN - THUR,4-7PM
SKK,MASBIA OF QUEENS,718-534-7321,105-47 64TH ROAD,QN,11375,MON-THUR&SUN,2-6PM
FP,MAV MARKET AT MERCY COLLEGE,718-678-8209,1200 WATERS PLACE,BX,10461,M/TH,5-7PM/11AM-5PM
FP,MCCNY CHARITIES,(212) 629-7440,446 WEST 36TH STREET,NY,10018,THUR,8:30-10AM
FPK,MESIVTHA OF STATEN ISLAND,718-356-5412,1870 DRUMGOOLE ROAD EAST,SI,10309,WED,2:30-3:30PM
FPK,METROPOLITAN COUNCIL ON JEWISH POVERTY,718-763-5318,5361 PRESTON COURT,BK,11234,TUE/THUR,1-3PM/10AM-12PM
FP,MINISTRY TOOLS INC,718-529-0005,170-20 140TH AVE,QN,11434,SAT,12-2PM
FPM,MOBILE FOOD PANTRY,646-385-0748,309 DRAKE STREET,BX,10474,TUE-FRI,10AM -12PM
FPHA,MOMENTUM PROJECT @ CHURCH OF THE GOD OF PROPH,C71Y8-292-7718,85 EAST 165TH STREET,BX,10452,WED,11AM-1PM&4-6:30PM
FPHA,MOMENTUM PROJECT @ MIDDLE COLLEGIATE CHURCH,718-292-7718,50 EAST 7TH STREET,NY,10003,MON,4-6:30PM
FPHA,MOMENTUM PROJECT @ ST. PETER'S CHURCH,718-292-7718,619 LEXINGTON AVENUE,NY,10022,TUE,4-:6:30PM
SKH,MOMENTUM PROJECT HRC - HARM REDUCTION CENTER,718-292-7718,226 EAST 144TH STREET,BX,10451,FRI,12:30-1:15PM
FP,MORE GRACE REDEMPTIVE CENTER,(718) 693-7074,11 WOODS PLACE,BK,11226,TUE,11AM-1PM
FP,MORE THAN CONQUERORS GLOBAL MINISTRIES INC,718-528-3334,153-56 ROCKAWAY BLVD,QN,11434,SAT,4-6PM
FP,MORRISANIA BAPTIST CHURCH,347-918-9934,551 EAST 169TH STREET,BX,10456,"SAT(3,4)",9-11:30AM
FP,MORRISANIA REVITALIZATION CORP INC,718-589-7858,576 EAST 165TH STREET,BX,10456,FRI,10AM-12PM
FP,MOSHOLU MONTEFIORE COMMUNITY CENTER FP,718-882-4000,3450 DEKALB AVENUE,BX,10467,"TUE(2,4),TH(2,4)",10AM-1PM&3-5PM
FP,MOUNT CARMEL WORSHIP AND OUTREACH CENTER,347-627-2226,784 EAST 46TH STREET,BK,11203,MON,12-2PM
FP,MOUNT PISGAH BAPTIST CHURCH,914-882-7383,709 EAST 228TH STREET,BX,10466,"SAT(2,3)",11AM-1PM
FP,MOUNT SINAI SDA CHURCH,718-465-1784,217-10 93RD AVENUE,QN,11428,WED,5-7PM
FP,MOVEMENT OF PENTECOSTAL CHRISTIAN CHURCH,718-253-1941,90-92 SUMMIT STREET,BK,11231,SUN,12:30-2PM
FP,MT. HEBRON CHURCH OF CHRIST,718-385-8226,167 CHESTER STREET,BK,11212,SAT,9-10:30AM
FP,MT. OLIVET BAPTIST CHURCH COMMUNITY MEAL PROGRA,(212) 864-1155,201 LENOX AVE,NY,10027,"TUE,WED",10:30-11:30AM
FP,MT. OLIVET GOSPEL CHURCH,(718) 478-0780,33-27 97TH STREET,QN,11368,WED,5:30-6:30PM
FP,NARROW DOOR I.M.C.,212-567-1052,161 SHERMAN AVENUE,NY,10034,SAT,10AM-12PM
SK,NATIONAL COUNCIL OF JEWISH WOMEN,(212) 799-7205,241 WEST 72ND STREET,NY,10023,WED/SUN,5-6PM/11:30AM-12:30PM
FP,NATIONAL SORORITY OF PHI DELTA KAPPA,718-723-1119,117-08 MERRICK BLVD,QN,11434,TUE/THUR,11AM-1PM/3:30-5:30PM
FPK,NAT'L COMM. FOR FUTH. OF JEWISH ED.(UC),(718) 735-0200,824 EASTERN PARKWAY,BK,11213,FRI,12-1PM
FP,NAZARETH HOUSING INC,212-477-7017,206 EAST 4TH STREET,NY,10009,TUE,10AM-2PM
SK,NEIGHBORS TOGETHER,(718) 498-7256,2094 FULTON STREET,BK,11233,MON-THUR/FRI,12-2PM & 4-6PM/12-2PM
FP,NEW CONVENANT COMMUNITY DEVELOPMENT CORP,718-328-6072,1175 BOSTON ROAD,BX,10456,TUE/THUR,4-6PM/10AM-1PM
FP,NEW LIFE SDA CHURCH,718-385-0463,885-87 THOMAS BOYLAND STREET,BK,11212,SUN/MON/TUE,8-10AM/5-7PM/6-8PM
FP,NEW ST. JOHN BAPTIST CHURCH,(718) 220-4148,2409 LORILLARD PLACE,BX,10458,FRI,8-10AM
SK,NEW YORK CITY LOVE KITCHEN INC,(212) 942-4204,3816 9TH AVE,NY,10034,MON-FRI,4:30-6:30PM
FP,NEW YORK COMMON PANTRY,917-720-9700,8 EAST 109TH STREET,NY,10029,WED-SAT,10AM-2:30PM
FP,NEW YORK COMMON PANTRY - BRONX,917-423-2701,1290 HOE AVENUE,BX,10459,"TH,F,SAT",10AM-2:30PM
FP,NEW YORK SCHOOL OF URBAN MINISTRY,(718) 204-6471,31-65 46TH STREET,QN,11103,FRI,10AM-12PM
FP,NEWMAN MEMORIAL UNITED METHODIST CHURCH COMMU,(I7T1Y8 )D 6E2V2E-7L9O5P5M,257 Macon St,BK,11216,TUE,10AM-2PM
FP,NORTHEAST BROOKLYN HOUSING DEVELOPMENT CORPO,A7T18IO-4N53-9490,376 THROOP AVENUE,BK,11221,"TUE,THUR",10AM-12PM
FP,NORTHEAST CONFERENCE COMMUNITY CENTER SDA,347-527-2444,99-13 NORTHERN BLVD,QN,11368,TUE/WED(SR ONLY),12-1PM
FP,ONE WAY CHURCH OF CHRIST,(718) 525-4260,216-11 MERRICK BLVD.,QN,11413,SAT,11AM-1PM
FPK,ONEG SHABBOS,(718) 686-8174,1601 41ST STREET,BK,11218,THUR,6-9PM
FP,OPEN DOOR TO HEAVEN OUTREACH MINISTRY INC,347-822-0714,474 SHEPHERD AVENUE,BK,11208,"SAT (1,3)",12:30-1:30PM
SK,OPIN (OTHER PEOPLE IN NEED),(718) 498-8845,1768 ST. JOHNS PLACE,BK,11233,WED,7-9PM
FP,OUR LADY OF ANGELS HUMAN SERVICES,(718) 680-6344,336 73RD STREET,BK,11209,WED,10AM-12PM&1:30-2:30PM
FP,OUR LADY OF GOOD COUNSEL CHURCH (STATEN ISLAND),718-447-1503,42 AUSTIN PLACE,SI,10304,SAT,10-11AM
FP,OUR LADY OF GRACE MINISTRY,718-845-6635,158-10 101ST ST,QN,11414,"TUE,THUR",10AM-1PM
FP,OUR LADY OF GRACE PARISH MINISTRY,718-645-2120,2322 EAST 4TH STREET,BK,11223,MON-FRI,9-11:30AM
FP,OUR LADY OF MERCY CHURCH,(718) 346-3166,680 MOTHER GASTON BLVD.,BK,11212,"MON,FRI",9-11AM
FP,OUR LADY OF MIRACLES-CANARSIE CLUSTER CENTER,718-257-2400,757 EAST 86TH STREET,BK,11236,SAT,10-11:30AM
FP,OUR LADY OF REFUGE,(718) 367-4690,290 EAST 196TH STREET,BX,10458,WED,9-10AM
FP,OUR LADY OF REFUGE R.C. CHURCH,(718) 434-2090,2020 FOSTER AVE.,BK,11210,WED,10AM - 1PM
FP,OUR LADY OF SORROWS,(212) 673-0900,213 STANTON STREET,NY,10002,"TUE,THUR",9:30-10:30AM
SK,"PARK SLOPE CHRISTIAN HELP, INC",(718) 237-2962,200 4TH AVENUE,BK,11217,MON-THUR/SAT,11:30AM-1PM/11:30AM-2PM
FP,PART OF THE SOLUTION,(718) 220-4892,2759 WEBSTER AVENUE,BX,10458,MON-SAT,9AM-12PM
SK,PART OF THE SOLUTION (P.O.T.S.),(718) 220-4892,2759 WEBSTER AVENUE,BX,10458,MON-SUN,12:30-3:30PM
SK,PATHHSEO INC,718-842-2484,1288 REV. JAMES A. POLITE Ave,BX,10459,SAT,12-2PM
FP,PENIEL HAITIAN CHURCH OF C AND MA,718-469-3685,2741 ALBEMARLE ROAD,BK,11226,SAT/SAT(2ND),10AM-12PM/1-3PM
FP,PENIEL SDA CHURCH,347-933-7760,1210 UTICA AVENUE,BK,11203,FRI,10AM-12PM
FP,POMONOK FOOD PANTRY,718-591-6060,67-09 KISSENA BLVD,QN,11367,THUR,12-1PM
FP,"POWER PRAISE AND DELIVERANCE, INC",347-409-0288,120 EAST 184TH STREET,BX,10468,FRI,12-4PM
FP,PRESBYTERIAN CHURCH OF THE CROSSROADS,718-235-9843,133 ELTON STREET,BK,11208,"WED (1,2,3,4)",9-10AM
FP,PRODIGAL CENTER,718-644-8523,709 TIFFANY STREET,BX,10474,"TUE,THUR",11AM-3PM
FP,PROJECT CREATE - ANTHONY HOUSE,212-663-1975,73 LENOX AVE,NY,10026,WED,9AM-12PM
FP,"PROJECT HOSPITALITY, INC.",(718) 815-0800,514 BAY STREET,SI,10304,"TUE, THUR",9-11AM&1-3PM/9-11AM
FP,QUEENSBORO TEMPLE SDA CHURCH,718-776-8538,96-50 222ND STREET,QN,11429,WED(2ND&4TH),3-6PM
FP,RAUSCHENBUSCH METRO MINISTRIES INC.,(212) 594-4464,410 WEST 40TH STREET,NY,10018,"SAT(1,2,3,4)",11-11:30AM
FP,REACHING-OUT COMMUNITY SERVICES INC,(718) 373-4565,7708 NEW UTRECHT AVE,BK,11214,MON-FRI,10AM-5PM
FP,REDEEMED CHRISTIAN CHURCH OF GOD,718-293-8996,1001-1005 MORRIS AVENUE,BX,10456,TUE,4-6PM
FP,REDEEMED CHRISTIAN CHURCH OF GOD INTERNATIONAL,H34A7P-E95L5-4403,781 EAST 93RD STREET,BK,11236,SAT,1-3PM
FP,"RESCUE MINISTRY\MINISTERIO RESCATE, INC.",718-448-4454,2083 RICHMOND TERRACE,SI,10302,TUE,11:30AM-1PM
FP,RESURRECTION AND LIFE PENTECOSTAL CHURCH,718-617-2399,870 EAST 163RD STREET,BX,10459,TUE/SAT/SUN,12-1PM/10A-2P/1-2PM
FP,RHOW BROOKLYN INC,(718) 875-1858,360 SCHERMERHORN STREET,BK,11217,"SAT (2,3,4)",9-10:30AM
FP,"RIDGEWOOD OLDER ADULT CENTER & SERVICES, INC",(718) 456-2000,59-14 70TH AVE,QN,11385,"TUE(SR ONLY),WED,T",U1R0:30AM-12:30PM
FP,RUSH TEMPLE A.M.E. CHURCH,(718) 529-5719,119-48 SUTPHIN BOULEVARD,QN,11434,TUE,9-10AM
SK,RUSH TEMPLE A.M.E. ZION CHURCH,(718) 529-5719,119-48 SUTPHIN BOULEVARD,QN,11434,WED,12-1:30PM
FP,SALEM UNITED METHODIST CHURCH,212-678-2700,2190 ADAM CLAYTON POWELL JR. BLVD,NY,10027,FRI,11AM-1PM
SK,SALEM UNITED METHODIST CHURCH,212-678-2700,2190 ADAM CLAYTON POWELL JR BLVD,NY,10027,WED,12:30-3PM
FP,SALT & SEA MISSION CHURCH INC.,718-473-7979,2417-2419 STILLWELL AVE,BK,11223,"TUE, THUR",12-2PM
FP,"SANCTIFIED CHURCH OF GOD, INC/COMMUNITY FEEDING P",7O1G8-R49A3M-2385,404 LEFFERTS AVE,BK,11225,SAT,12-1PM
FP,SECOND CHANCE AGAPE WORSHIP CENTER,917-416-3697,200-12 HOLLIS AVENUE,QN,11412,THUR,12-2PM
FP,"SECOND ST. PAUL CHURCH OF CHRIST, DISCIPLE OF CHRI","T7,1 I8N-2C35-8922",1048 SUTTER AVE,BK,11208,"SAT(2,4)",8-10AM
FPK,SEPHARDIC BIKUR HOLIM FOOD PANTRY,718-787-1100,425 KINGS HIGHWAY,BK,11223,"M,TU,W,TH/FRI/TU,TH",9A-12:30P/9-11A/2-3:30P
FPK,SHALOM SENIOR CENTER,(718) 774-9213,483 ALBANY AVE,BK,11203,MON-THUR/FRI,2-3PM/1-2PM
FP,SHILOH SDA,(718) 771-4103,449 EASTERN PARKWAY,BK,11216,THUR,9:30-11:30AM
FP,SHILOH TEMPLE PENTECOSTAL CHURCH,718-882-8909,719 EAST 223RD STREET,BX,10466,TUE,9AM-1PM
FPK,SHOREFRONT JEWISH COMMUNITY COUNCIL,718-743-0575,3014 BRIGHTON 6TH STREET,BK,11235,THUR,9AM-5PM
FP,SILOAM PRESBYTERIAN CHURCH FOOD PANTRY,(718) 789-7050,260 JEFFERSON AVENUE,BK,11216,WED,10AM-12PM
FP,SKYLIGHT CENTER,718-720-2585,307 ST. MARKS PLACE,SI,10301,TUE,2-3PM
FP,SOLID ROCK BAPTIST CHURCH,(718) 384-8764,120 TOMPKINS AVE,BK,11206,"MON,THUR",9AM-12PM
FP,SOLID ROCK SDA CHURCH,(718) 474-9306,5205 ROCKAWAY BEACH BLVD,QN,11691,WED,10-11AM
FP,SOUTH ASIAN COUNCIL FOR SOCIAL SERVICES,718-321-7929,143-06 45TH AVENUE,QN,11355,FRI,11AM-4PM
FP,SOUTH BKLYN SDA CHURCH COMMUNITY SERVICE PROGR,(M718) 783-1662,42 PROSPECT PLACE,BK,11217,"SUN(1,3)",11AM-2PM
FP,SOUTH OZONE PARK SEVENTH DAY ADVENTIST CHURCH,718-322-9210,120-12 140TH STREET,QN,11436,"FRI(4TH), SUN (2ND)",12-2PM
SK,SOUTHERN BAPTIST CHURCH,(212) 663-6549,12 WEST 108TH STREET,NY,10025,WED,12-1:30PM
FP,"SOUTHSIDE UNITED H.D.F.C., INC - LOS SURES",718-599-1940,145 SOUTH 3RD STREET,BK,11211,TUE/WED,9AM-12PM/4-6PM
FP,SPANISH SDA CHURCH FOOD PANTRY,718-991-7362,1038 PROSPECT AVENUE,BX,10459,THUR,8:30-11:30AM
FP,SPANISH SOUNDVIEW SDA CHURCH,718-842-7373,1822 LACOMBE AVENUE,BX,10473,WED(2 & LAST),8AM-12:30PM
FP,ST. ANN'S CHURCH OF MORRISANIA,(718) 585-5632,295 ST. ANN'S AVENUE,BX,10454,"WED,FRI",10:30AM-2PM
SK,ST. ANTHONY'S CHURCH,(718) 931-4040,1750 MANSION STREET,BX,10460,SAT,11AM-2PM
FP,ST. AUGUSTINE FOOD PANTRY,718-213-4458,1168 FRANKLIN AVENUE,BX,10456,MON,10:30AM-1:30PM
FP,ST. AUGUSTINE'S AMERICAN CATHOLIC CHURCH,(718) 773-1338,298 SCHENECTADY AVENUE,BK,11213,FRI,1-3PM
FP,ST. AUGUSTINE'S CHURCH,(718) 783-3132,116 6TH AVENUE,BK,11217,SAT,10AM-12PM
FP,ST. BRENDAN & ST. ANN PARISH,718-547-6655,268 EAST 207TH STREET,BX,10467,SAT (2ND),8-9AM
FP,ST. CECILIA'S PARISH SERVICES,(212) 348-0488,125 EAST 105TH STREET,NY,10029,WED,9:30-11AM
FP,ST. CHARLES BORROMEO CHURCH,(212) 281-2100,211 WEST 141ST STREET,NY,10030,SAT,8:30-10AM
FP,ST. EDMUNDS YOUTH PROGRAM INC,(718) 466-9370,1905 MORRIS AVENUE,BX,10453,THUR,12-2PM
FP,ST. EDWARD FOOD PANTRY,(718) 984-1625,6581 HYLAN BOULEVARD,SI,10309,"MON,WED,SAT",10AM-1PM
SK,ST. IGNATIUS EPISCOPAL CHURCH,(212) 580-3326,552 WEST END AVE,NY,10024,MON/SAT,6:45-7:15PM/3:45-4:15PM
FP,ST. JOHN'S BREAD & LIFE FOOD PANTRY,(718) 574-0058,795 LEXINGTON AVE,BK,11221,M-THU/FRI(SR.ONLY),9-10:30AM
SK,ST. JOHN'S BREAD & LIFE PROGRAM,(718) 574-0058,795 LEXINGTON AVE,BK,11221,MON-FRI,8-9:3AM&10:3AM-12:3PM
FP,ST. JOHN'S BREAD OF LIFE,(212) 564-9070,213 WEST 30TH STREET,NY,10001,WED,12:15-2:30PM
FP,ST. JOSEPH OF THE HOLY FAMILY FOOD PANTRY,212-662-9125,405 WEST 125TH STREET,NY,10027,SAT,8AM-12PM
FP,ST. LUKE BAPTIST CHURCH FOOD PANTRY,718-276-7066,133-28 232ND STREET,QN,11413,WED,12-1PM
FP,ST. LUKES FOOD PANTRY,(718) 665-6677,623 EAST 138TH STREET,BX,10454,FRI,10AM-12PM
SK,ST. LUKE'S SENIOR COMMUNITY PROGRAM,(718) 882-3060,777 EAST 222ND STREET,BX,10467,MON-FRI,12-1PM
FP,ST. MARGARET MARY CHURCH,(718) 721-9020,9-18 27TH AVENUE,QN,11102,"TUE, THUR, FRI",11AM-12PM
FP,ST. MARK AME CHURCH/THE VOICE OF HAGAR,718-205-0506,95-18 NORTHERN BLVD,QN,11372,"TUE (1,2,3,4)",12-2:45PM
FP,ST. MARK THE EVANGELIST CHURCH,(212) 281-4931,65 WEST 138TH STREET,NY,10037,"SAT(1,2,3,4)",10AM-12PM
SK,ST. MARK'S CHURCH OF CHRIST,718-467-3719,439 RALPH AVE,BK,11233,"MON,WED,FRI",12-1PM
FP,ST. MARY STAR OF THE SEA,(718) 327-1133,19-20 NEW HAVEN AVENUE,QN,11691,"TUE,FRI",1-2:30PM
FP,ST. MARY'S EPISCOPAL CHURCH FOOD PANTRY,212-222-3043,521 WEST 126TH STREET,NY,10027,MON,4-6PM
FP,ST. MATTHEW'S ROMAN CATHOLIC CHURCH,(718) 774-6747,1342 LINCOLN PLACE,BK,11213,"TUE (1,2,3,4)",9AM-12PM
SK,ST. MICHAEL'S CHURCH,212-222-2700,225 WEST 99TH STREET,NY,10025,SAT,10-11:45AM
FP,ST. NICHOLAS OF TOLENTINE CHURCH- F.P.,(718) 969-3226,150-75 GOETHALS AVENUE,QN,11432,THUR,9AM-12PM
FP,ST. PAUL PENTECOSTAL CHURCH,917-604-9644,133 THOMAS S BOYLAND STREET,BK,11233,SAT,11AM - 1PM
FP,ST. PAUL'S HOUSE INC.,(212) 265-5433,335 WEST 51ST STREET,NY,10019,TUE,10-11AM
FP,ST. PAUL'S LUTHERAN CHURCH,(718) 822-4535,1891 McGRAW AVENUE,BX,10462,FRI,8-10AM
FP,ST. PETER'S FOOD PANTRY,(212) 929-2390,346 WEST 20TH ST,NY,10011,SAT,11AM-12:30PM
FP,ST. PETER'S LOVE PANTRY,718-931-9270,2500 WESTCHESTER AVENUE,BX,10461,"TUE (1,3)",10AM-12PM
FP,ST. PHILIP'S CHRISTIAN CHURCH,(718) 453-0691,765 LAFAYETTE AVE,BK,11221,THUR,12-2PM
FP,ST. PHILIP'S EPISCOPAL/ST. BENEDICT'S PANTRY,(718) 778-8700,265 DECATUR STREET,BK,11233,WED,11AM-1PM
FP,ST. RAPHAEL CHURCH FOOD PANTRY,(718) 729-8957,35-20 GREENPOINT AVE,QN,11101,THUR/SAT,10:3A-12P/1:3-3P
FP,ST. STEPHEN OUTREACH COMMUNITY DEVELOPMENT COR,7O1R8-A9T3I8O-4N532,874 MYRTLE AVENUE,BK,11206,"WED,FRI",9-10:30AM
FP,ST. TERESA OF AVILA,718-622-8728,560 STERLING PLACE,BK,11238,"THUR (1,2,3,4)",8-11AM
FP,ST. TERESA OF AVILA COMMUNITY SERVICES,718-529-3587,129-04 109TH AVENUE,QN,11420,"MON,THUR",9-11AM
FP,ST. THERESE OF LISIEUX R.C. CHURCH,718-451-0683,4410 AVENUE D,BK,11203,TUE,10:30AM-12:30PM
SK,STAPLETON U.A.M.E. CHURCH,(718) 273-2857,49 TOMPKINS AVENUE,SI,10304,MON/WED,3-4PM/12-1PM
FP,STAPLETON U.A.M.E. CHURCH,(718) 273-2857,49 TOMPKINS AVE,SI,10304,"TUE,FRI",10AM-1PM
FP,STATEN ISLAND SDA CHURCH,(718) 442-4806,80 UNION AVE,SI,10303,SUN,10AM-2PM
FP,TABERNACLE OF PRAYER,(718) 657-4210,90-07 MERRICK BLVD,QN,11432,FRI,10-11:30AM
FP,TAURUS ASSOCIATES INC.,718-526-2177,240-08 135TH AVENUE,QN,11422,WED,3-5PM
SK,TEMPLE SHAARAY TEFILA,(212) 535-8008,250 EAST 79TH STREET,NY,10075,WED,12-1PM
FP,THE CAMPAIGN AGAINST HUNGER,718-773-3551,2004 FULTON STREET,BK,11233,MON/TUE-FRI,10AM-3PM/10AM-6PM
FP,THE CHURCH OF ST. MARK,(718) 756-6607,1417 UNION STREET,BK,11213,"MON(1,2,3,4)",5-7:30PM
FPH,THE COMMUNITY FOOD PANTRY,718-960-2262,1363 OGDEN AVE,BX,10452,TUE/THUR/1ST SAT,10AM-12PM/1-3PM/10AM-12PM
FP,THE FLOW KINGDOM MINISTRIES,347-431-4326,901 EAST TREMONT AVENUE,BX,10469,MON,5-7PM
FP,THE GRACE OF GOD MINISTRIES-CHURCH INC,347-697-7843,963 EAST 233RD STREET,BX,10466,SAT,9-10AM
FP,"THE HARDING FORD VISION, INC",718-291-9281,157-22 TUSKEGEE AIRMEN WAY,QN,11433,WED/SAT,10AM-12PM/2-4PM
FP,THE SALVATION ARMY ASTORIA CORPS,(718) 721-9046,45-18 BROADWAY,QN,11103,"WED (2,4)",9:30-11:30AM
FP,THE SALVATION ARMY BEDFORD TEMPLE CORPS,(718) 622-9020,601 LAFAYETTE AVENUE,BK,11216,WED,10AM-12PM
FP,THE SALVATION ARMY BRONX CITADEL,(718) 665-8472,425 EAST 159TH STREET,BX,10451,"TUE(1,2,3,4)",10AM-12:30PM
SK,THE SALVATION ARMY BUSHWICK CORPS,(718) 455-4102,1151 BUSHWICK AVENUE,BK,11221,"M,TU,TH,FRI",12:30-2PM
FP,THE SALVATION ARMY JAMAICA CITADEL CORPS,(718) 297-4860,90-23 161ST STREET,QN,11432,THUR,10-11AM
FP,THE SALVATION ARMY MANHATTAN CITADEL,(212) 860-3200,175 EAST 125TH STREET,NY,10035,MON-FRI,9AM-3PM
FP,THE SALVATION ARMY QUEENS TEMPLE CORP,(718) 335-3693,86-07 35TH AVENUE,QN,11372,WED,10-11:30AM
FP,THE SALVATION ARMY STAPLETON CORPS,(718) 448-8480,15 BROAD STREET,SI,10304,TUE-THUR,12:30-2:30PM
FP,THE SALVATION ARMY SUNSET PARK CORPS,(718) 438-1771,520 50TH STREET,BK,11220,TUE,10AM-12PM
SK,THE SALVATION ARMY TEMPLE CORP.,(718) 335-3693,86-07 35TH AVENUE,QN,11372,MON-FRI,12-1PM
FP,THE TABLE AT THE FAMILY SUPPORT CENTER AT NYU LAN,7O1N8E-630-7171,6025 6TH AVENUE,BK,11220,FRI,10AM-2PM
FP,THESSALONIA BAPTIST CHURCH,(718) 542-0828,951 REV. JAMES POLITE AVE,BX,10459,TUE,10:30-11:30AM
FP,THORPE FAMILY RESIDENCE,718-295-2550,406 EAST 184TH STREET,BX,10458,WED,8:30-9:30AM
SK,THURSTON MEMORIAL OUTREACH MINISTRIES,(718) 452-3646,1243 BUSHWICK AVENUE,BK,11221,FRI,5-7:30PM
FP,THURSTON MEMORIAL OUTREACH MINISTRIES,(718) 452-3646,1243 BUSHWICK AVE,BK,11221,FRI,5-7:30PM
FPK,TOMCHE SHABBOS OF BORO PARK,(718) 259-5576,6225 NEW UTRECHT AVE,BK,11219,THUR,3-5PM
FP,TRINITY HUMAN SERVICE CORPORATION,(718) 388-3176,153 A JOHNSON AVENUE,BK,11206,TUE-FRI,9AM-12PM&1-4PM
FP,"TRINITY'S SERVICES AND FOOD FOR THE HOMELESS, INC.",(212) 228-5254,602 EAST 9TH STREET,NY,10009,MON-THUR,12:30-1:30PM
FP,TRIUMPHANT FULL GOSPEL ASSEMBLY,718-774-4696,889 RUTLAND ROAD,BK,11203,THUR,4-6PM
FP,TRUE HOLY CHURCH OF GOD IN CHRIST JESUS,(718) 385-0248,2364 ATLANTIC AVENUE,BK,11233,SAT,10AM-12PM
FPK,UJC OF THE EAST SIDE,212-475-3857,15 WILLETT STREET,NY,10002,FRI,9:30-11:30AM
FP,UNION BAPTIST CHURCH,(718) 452-7248,461 DECATUR STREET,BK,11233,WED,12-2PM
FP,UNION GROVE BAPTIST CHURCH,718-328-1444,1488 HOE AVENUE,BX,10460,WED,9-11AM
SKM,"UNITED BRONX PARENTS, INC.",(718) 991-7100,603 PROSPECT AVENUE,BX,10455,MON-FRI,2:30-4PM
FP,"UNITED CHURCH OF PRAISE INTERNATIONAL MINISTRIES, I",7C18-314-8779,32 SANDS STREET,SI,10304,"FRI,SUN",1-3PM
SK,UNITED COMMUNITY BAPTIST CHURCH,347-446-6254,545 UTICA AVE,BK,11203,SAT,10AM-12PM
SK,"UNIVERSITY COMMUNITY SOCIAL SERVICES, INC",347-850-2230,137 EAST 2ND STREET,NY,10009,SAT,8AM-12PM&1-2:30PM
FP,URBAN STRATEGIES INC,(718) 346-2539,61-71 RIVERDALE AVENUE,BK,11212,TUE,8-10AM
FP,V.E.T.S. INC,718-206-2376,111-16 173RD STREET,QN,11433,FRI,10AM-12PM
